title,author,url,description,subjects,categories,avg_rating,ratings_count,publisher,published_date,page_count,isbn10,isbn13,language,description_long,unique_id
thus spake zarathustra a book for all and none,friedrich wilhelm nietzsche,https://www.gutenberg.org/ebooks/1998,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,thus spake zarathustra a book for all and nonefriedrich wilhelm nietzsche,,,-7424657514467991847
walden and on the duty of civil disobedience,henry david thoreau,https://www.gutenberg.org/ebooks/205,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,walden and on the duty of civil disobediencehenry david thoreau,,,6843799070934629936
the confessions of st augustine,bishop of hippo saint augustine,https://www.gutenberg.org/ebooks/3296,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the confessions of st augustinebishop of hippo saint augustine,,,6623454977228185922
simple sabotage field manual,united states office of strategic services,https://www.gutenberg.org/ebooks/26184,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,simple sabotage field manualunited states office of strategic services,,,-6304986651487900846
a christmas carol in prose being a ghost story of christmas,charles dickens,https://www.gutenberg.org/ebooks/46,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a christmas carol in prose being a ghost story of christmascharles dickens,,,2515050683967169857
white nights and other stories,fyodor dostoyevsky,https://www.gutenberg.org/ebooks/36034,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,white nights and other storiesfyodor dostoyevsky,,,2002984542577386237
ulysses,james joyce,https://www.gutenberg.org/ebooks/4300,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,ulyssesjames joyce,,,6846641643959044861
rip van winkle,washington irving,https://www.gutenberg.org/ebooks/60976,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,rip van winklewashington irving,,,-3919385566872296199
narrative of the life of frederick douglass an american slave,frederick douglass,https://www.gutenberg.org/ebooks/23,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,narrative of the life of frederick douglass an american slavefrederick douglass,,,-120639781773059074
du ct de chez swann french,marcel proust,https://www.gutenberg.org/ebooks/2650,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,du ct de chez swann frenchmarcel proust,,,-61579417716164082
beyond good and evil,friedrich wilhelm nietzsche,https://www.gutenberg.org/ebooks/4363,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,beyond good and evilfriedrich wilhelm nietzsche,,,1563602074121533626
don quijote spanish,miguel de cervantes saavedra,https://www.gutenberg.org/ebooks/2000,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,don quijote spanishmiguel de cervantes saavedra,,,8671211782224708492
the interesting narrative of the life of olaudah equiano or gustavus vassa the african,olaudah equiano,https://www.gutenberg.org/ebooks/15399,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the interesting narrative of the life of olaudah equiano or gustavus vassa the africanolaudah equiano,,,2575435385830602233
the tragical history of doctor faustus,christopher marlowe,https://www.gutenberg.org/ebooks/779,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the tragical history of doctor faustuschristopher marlowe,,,2722229110278852696
the lesser key of solomon goetia the book of evil spirits   contains two hundred diagrams and seals for invocation and convocation of spirits necromancy witchcraft and black art,unknown,https://www.gutenberg.org/ebooks/72679,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the lesser key of solomon goetia the book of evil spirits   contains two hundred diagrams and seals for invocation and convocation of spirits necromancy witchcraft and black artunknown,,,-954882817760800061
the odyssey,homer,https://www.gutenberg.org/ebooks/1727,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the odysseyhomer,,,1594906708382341636
on liberty,john stuart mill,https://www.gutenberg.org/ebooks/34901,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,on libertyjohn stuart mill,,,2980061635222489391
poems on various subjects religious and moral,phillis wheatley,https://www.gutenberg.org/ebooks/409,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,poems on various subjects religious and moralphillis wheatley,,,-8416949695914527445
the wonderful wizard of oz,l frank baum,https://www.gutenberg.org/ebooks/55,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the wonderful wizard of ozl frank baum,,,8475687059854402341
treasure island,robert louis stevenson,https://www.gutenberg.org/ebooks/120,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,treasure islandrobert louis stevenson,,,5227675985572850951
the divine comedy,dante alighieri,https://www.gutenberg.org/ebooks/8800,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the divine comedydante alighieri,,,-5537698807886621638
the republic,plato,https://www.gutenberg.org/ebooks/1497,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the republicplato,,,1379109028800798794
spoon river anthology,edgar lee masters,https://www.gutenberg.org/ebooks/26471,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,spoon river anthologyedgar lee masters,,,-5102215513873510614
